,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sabang,92,PH,1546820334,96,13.72,123.58,75.35,12.53
1,Wodonga,0,AU,1546815600,41,-36.12,146.89,78.8,6.93
2,Ilskiy,20,RU,1546819200,96,44.85,38.57,35.6,13.42
3,Barrow,32,AR,1546820335,66,-38.31,-60.23,68.82,12.19
4,Mataura,48,NZ,1546820335,64,-46.19,168.86,65.85,16.89
5,Zhigansk,56,RU,1546819859,80,66.77,123.37,-18.48,8.16
6,Vanavara,56,RU,1546820280,65,60.35,102.28,-9.12,8.72
7,Avarua,75,CK,1546819200,65,-21.21,-159.78,82.4,11.41
8,Bundaberg,90,AU,1546815600,69,-24.87,152.35,78.8,16.11
9,Ushuaia,75,AR,1546815600,80,-54.81,-68.31,44.6,28.86
10,East London,0,ZA,1546819523,100,-33.02,27.91,69.14,7.61
11,Cape Town,0,ZA,1546815600,82,-33.93,18.42,64.4,9.17
12,Rikitea,100,PF,1546819824,100,-23.12,-134.97,77.6,11.18
13,Busselton,0,AU,1546819814,98,-33.64,115.35,68.42,18.57
14,Payson,90,US,1546818960,91,40.04,-111.73,33.26,4.7
15,Ponta do Sol,24,BR,1546819895,94,-20.63,-46.0,64.1,2.35
16,Bluff,48,AU,1546819817,53,-23.58,149.07,84.8,13.76
17,Lompoc,90,US,1546815360,61,34.64,-120.46,60.08,8.05
18,Eydhafushi,8,MV,1546820336,100,5.1,73.07,80.75,10.29
19,Rome,0,IT,1546818600,81,41.89,12.48,42.8,3.36
20,Yulara,0,AU,1546815600,17,-25.24,130.99,84.2,18.34
21,Berdigestyakh,36,RU,1546820337,71,62.1,126.7,-10.88,4.59
22,Klaksvik,92,FO,1546818600,86,62.23,-6.59,39.2,16.11
23,Abu Zabad,8,SD,1546819821,36,12.35,29.25,62.12,15.1
24,Tiksi,44,RU,1546819819,68,71.64,128.87,-23.39,2.46
25,Ribeira Grande,75,PT,1546817400,88,38.52,-28.7,62.6,17.22
26,Qaanaaq,0,GL,1546818209,93,77.48,-69.36,-16.28,6.49
27,Thompson,90,CA,1546815600,84,55.74,-97.86,3.2,4.7
28,Norman Wells,20,CA,1546815600,75,65.28,-126.83,-20.21,3.36
29,Bilibino,32,RU,1546820338,0,68.06,166.44,-40.49,2.8
30,Ostrovnoy,92,RU,1546820203,95,68.05,39.51,32.06,16.89
31,Campbell River,40,CA,1546815600,96,50.02,-125.24,44.6,2.35
32,Hermanus,0,ZA,1546819838,95,-34.42,19.24,53.97,3.91
33,Zhob,8,PK,1546820338,61,31.34,69.45,17.21,1.9
34,Sirsilla,20,IN,1546820339,94,18.39,78.81,62.48,3.58
35,Victoria,75,BN,1546817400,83,5.28,115.24,82.4,3.36
36,Tuatapere,24,NZ,1546819829,83,-46.13,167.69,61.35,18.12
37,San Quintin,0,PH,1546820339,82,17.54,120.52,68.96,3.58
38,Torbay,90,CA,1546817040,100,47.66,-52.73,35.6,23.04
39,Lagoa,0,PT,1546817400,70,37.14,-8.45,44.6,2.24
40,Chokurdakh,8,RU,1546819623,0,70.62,147.9,-41.48,2.68
41,South Shields,75,GB,1546818600,93,55.0,-1.43,46.4,4.7
42,Arraial do Cabo,32,BR,1546818239,78,-22.97,-42.02,80.25,20.02
43,Khandyga,36,RU,1546820216,82,62.65,135.58,-39.41,2.68
44,Tautira,75,PF,1546819200,74,-17.73,-149.15,84.2,9.17
45,Yellowknife,75,CA,1546815600,83,62.45,-114.38,-4.01,11.41
46,Arlit,64,NE,1546820261,72,18.74,7.39,48.71,4.36
47,Hithadhoo,92,MV,1546819846,100,-0.6,73.08,77.51,0.89
48,Punta Arenas,40,CL,1546819200,95,-53.16,-70.91,46.4,14.99
49,Merauke,92,ID,1546819853,100,-8.49,140.4,78.14,11.63
50,Wanaka,0,NZ,1546820237,55,-44.7,169.14,63.87,2.91
51,Sola,20,NO,1546818600,86,58.89,5.65,42.8,11.41
52,Souillac,90,FR,1546817400,80,45.6,-0.6,39.2,5.82
53,Port Alfred,0,ZA,1546819820,100,-33.59,26.89,64.95,6.6
54,Sao Gabriel da Cachoeira,32,BR,1546820341,98,-0.13,-67.09,75.57,2.91
55,Atuona,36,PF,1546820341,100,-9.8,-139.03,79.67,12.86
